pressure,temperature
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
0,0
10,5
20,10
30,15
40,20
50,25
60,30
70,35
80,40
90,45
100,50
110,55
120,60
130,65
140,70
150,75
160,80
170,85
180,90
190,95
200,100
210,105
220,110
230,115
240,120
250,125
260,130
270,135
280,140
290,145
300,150
310,155
320,160
330,165
340,170
350,175
360,180
370,185
380,190
390,195
400,200
410,205
420,210
430,215
440,220
450,225
460,230
470,235
480,240
490,245
500,250
510,255
520,260
530,265
540,270
550,275
560,280
570,285
580,290
590,295
600,300
610,305
620,310
630,315
640,320
650,325
660,330
670,335
680,340
690,345
700,350
710,355
720,360
730,365
740,370
750,375
760,380
770,385
780,390
790,395
800,400
810,405
820,410
830,415
840,420
850,425
860,430
870,435
880,440
890,445
900,450
910,455
920,460
930,465
940,470
950,475
960,480
970,485
980,490
990,495
